run_date,event_date,company,drug,event_type,title,source,link,nct_id,status
2026-03-19,2025-10-23,CeleCor Therapeutics,Zalunfiban,trial,A Phase 3 Study of Zalunfiban in Subjects With ST-elevation MI,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT04825743,NCT04825743,ACTIVE_NOT_RECRUITING
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,Untitled,www.celecor.com,https://www.celecor.com/,,
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,About zalunfiban (Disaggpro™ ),www.celecor.com,https://www.celecor.com/about-zalunfiban/,,
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,Clinical development,www.celecor.com,https://www.celecor.com/clinical-trials/,,
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,CeleBrate trial results,www.celecor.com,https://www.celecor.com/celebrate-results/,,
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,News,www.celecor.com,https://www.celecor.com/news/,,
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,Read more,www.celecor.com,https://www.celecor.com/rapid-zalunfiban-treatment-at-1st-point-of-medical-contact-lowered-risk-of-more-severe-heart-damage-in-combination-with-other-serious-heart-attack-complications/,,
2026-03-19,,CeleCor Therapeutics,Zalunfiban,press,Read more,www.celecor.com,https://www.celecor.com/phase-3-study-of-novel-anti-platelet-drug-for-heart-attack-reports-positive-topline-results/,,
2026-03-19,2025-10-24,NewAmsterdam Pharma,Obicetrapib,trial,Prevail Global Study,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT06535854,NCT06535854,RECRUITING
2026-03-19,2024-02-16,NewAmsterdam Pharma,Obicetrapib,trial,Prevail Drug Balloon Study,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT05562089,NCT05562089,UNKNOWN
2026-03-19,2019-09-30,NewAmsterdam Pharma,Obicetrapib,trial,The PREVAIL Study,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT03260517,NCT03260517,COMPLETED
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Overview,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/investor-relations,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,News & Events,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/news-events/press-releases,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Events & Presentations,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/news-events/events-and-presentations,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Corporate Governance,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/corporate-governance/governance-overview,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Committee Composition,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/corporate-governance/committee-composition,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Financial Information,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/financial-information/sec-filings,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Annual Meeting,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/financial-information/annual-meeting,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Stock Information,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/stock-information/stock-quote-chart,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Analyst Coverage,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/stock-information/analyst-coverage,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Shareholder Services,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/shareholder-services/investor-faqs,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Email Alerts,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/shareholder-services/email-alerts,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,Contact IR,ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/shareholder-services/contact-ir,,
2026-03-19,,NewAmsterdam Pharma,Obicetrapib,press,NewAmsterdam Pharma Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),ir.newamsterdampharma.com,https://ir.newamsterdampharma.com/news-releases/news-release-details/newamsterdam-pharma-reports-inducement-grants-under-nasdaq-15,,
